title,authors,year,venue,link,angle,what_it_does,key_results,drawbacks,gap_vs_ours
BabelJudge: Measuring LLM-as-a-Judge Reliability Across Languages and Agent Trajectories,(see paper),2026,arXiv preprint (2026-06),https://arxiv.org/abs/2606.22329,preemption,"Framework measuring judge position bias, verbosity bias, order inconsistency, and cross-lingual degradation across English, Hindi, Arabic, Swahili via controlled perturbations.",Documents judge reliability degradation across languages including Hindi.,Hindi appears in native Devanagari only.,"No script/transliteration condition at all; language, not script, is the variable."
Indi-RomCoM: Code-Mixed Benchmark for Evaluating LLMs on Romanized Indic-English Instructions,(see paper),2026,arXiv preprint (2026-06),https://arxiv.org/abs/2606.30790,preemption,Benchmarks LLMs on romanized code-mixed Indic-English instructions across 7 tasks and 4 Indic languages with controlled code-mixing density.,"LLMs consistently underperform on romanized code-mixed instructions, degrading with code-mixing density.",Task-performance benchmark; instructions vary rather than holding content fixed.,No judge-scoring bias; no native-script twin condition for a judge to score.
"Lower-Resource, Higher Scores: Language Bias in LLM Evaluators",Ej Zhou et al.,2026,arXiv preprint,https://arxiv.org/abs/2607.14480,judge_bias,"Audits multilingual LLM evaluators on semantically identical instruction-response pairs across 23 languages, measuring language-dependent score shifts.","Systematic cross-model score shifts, up to 43% acceptance-rate difference across languages; lower-resource languages scored MORE favorably; language identity predictive even after controlling for uncertainty.",Compares across languages in standard scripts only; translation-based pairs introduce noise.,"Closest methodological neighbour, but varies language rather than writing system; confirms the language axis can run OPPOSITE to expectations, motivating our script-only isolation."
"One Language, Two Scripts: Probing Script-Invariance in LLM Concept Representations",(see paper),2026,arXiv preprint (2026-03),https://arxiv.org/abs/2603.08869,preemption,Uses Serbian Cyrillic/Latin digraphia to probe whether LLM internal concept representations are script-invariant.,Finds imperfect cross-script transfer: script non-invariance exists inside models.,"Interpretability probing only; Serbian, not Devanagari/romanized Indic.","The exact same-language-two-scripts control paradigm, but at representation level with no judge-scoring outcome."
"Script Sensitivity: Benchmarking Language Models on Unicode, Romanized and Mixed-Script Sinhala",(see paper),2026,arXiv preprint (2026-01),https://arxiv.org/abs/2601.14958,preemption,Benchmarks 24 open LMs on native Unicode vs romanized vs mixed-script Sinhala with language fixed.,Over 300x median perplexity degradation from native Unicode to romanized Sinhala; single-script evaluation underestimates deployment risk.,Perplexity/LM-quality only; not Devanagari/Hindi.,"Script duality with language fixed, but no LLM-as-judge and no content-quality scoring; supports the mechanism behind our hypothesis."
The Tokenizer Tax: Quantifying and Explaining the Cross-Lingual Cost of Subword Tokenization for Indian Languages,Priyansh Srivastava,2026,arXiv preprint,https://arxiv.org/abs/2607.24276,tokenization,Quantifies the token premium of English-centric subword tokenizers on Indian languages; attributes it mechanistically to failed BPE merges leaving Indic text in single-byte fallback tokens.,Indian languages pay average 8.0x tokenization tax vs English (up to 13.0x Malayalam); effective context shrinks to ~12%; merge-failure rate correlates with the tax at r=0.89; multilingual tokenizers cut the tax ~73%.,"Single-author preprint, not peer-reviewed; stops at token counts and merge statistics without behavioral experiments.",Provides the precise byte-fallback fragmentation mechanism we hypothesize but never tests its behavioral consequence on judge scores.
Toward Robust LLM-Based Judges: Taxonomic Bias Evaluation and Debiasing Optimization (JudgeBiasBench),(see paper),2026,arXiv preprint (2026-03),https://arxiv.org/abs/2603.08091,preemption,Taxonomy of 12 LLM-judge bias types across 4 dimensions with bias-augmented instances and RL/contrastive debiasing.,State-of-the-art catalog of judge biases.,Script/orthography/romanization is not among the taxonomized bias types.,Direct evidence the community has not yet named script bias in judges; our paper fills the missing taxonomy slot.
Towards Reliable Multilingual LLMs-as-a-Judge: An Empirical Study,(see paper),2026,arXiv preprint (2026-05),https://arxiv.org/abs/2605.28710,preemption,"Empirical study of building multilingual LLM judges (English/Spanish/Basque): instruction translation, mono vs multilingual supervision, model size.",Characterizes low-resource judge weaknesses and supervision strategies.,All three languages are Latin-script; no Indic languages.,"No script, transliteration, or romanization dimension."
COMI-LINGUA: Expert Annotated Large-Scale Dataset for Multitask NLP in Hindi-English Code-Mixing,Rajvee Sheth et al.,2025,arXiv preprint (cs.CL),https://arxiv.org/abs/2503.21670,script_translit,125K+ instance triple-annotated Hindi-English code-mixed dataset covering five NLP tasks in both Devanagari and Roman script variants; benchmarks LLMs on it.,"Closed-source LLMs beat traditional tools zero-shot; fine-tuning reaches up to 95.25 F1 on NER, 98.77 F1 on matrix-language ID.",Evaluates LLMs as task performers on code-mixed data; Hindi-English only.,Shows LLMs can process Hinglish in both scripts for NLP tasks but never tests whether a judge rates identical content differently by script.
CodeMixBench: Evaluating Code-Mixing Capabilities of LLMs Across 18 Languages,Yilun Yang et al.,2025,EMNLP 2025,https://arxiv.org/abs/2507.18791,script_translit,"Code-mixing benchmark of eight tasks across 18 languages in seven families, with a synthetic data pipeline (word substitution + GPT-4 prompting).","LLMs consistently underperform on code-mixed data, especially across language families; data, scale, and few-shot prompting partially close the gap.",Relies on synthetic code-mixed text that may not reflect natural Hinglish spelling variability.,"Measures LLM competence at handling code-mixed input, not the fairness of an LLM grader when the same answer appears code-mixed/romanized vs native."
